,id_local,code_insee,nom_ville,departement,code_postal,geometry
0,169.0,77479,Vaires-sur-Marne,77,77360,"POLYGON ((2.6608499853619 48.874040288642, 2.6384675416036 48.858361643127, 2.6293357765051 48.857215839419, 2.6172090779476 48.858997906793, 2.6057964632344 48.864650004829, 2.6126064398467 48.865034669316, 2.6256843043492 48.874130643609, 2.6326808636591 48.882471861505, 2.6518418933683 48.882871750736, 2.6608499853619 48.874040288642))"
1,355.0,91477,Palaiseau,91,91120,"POLYGON ((2.2034622767258 48.721045886051, 2.2128995246405 48.728794473189, 2.2244540698749 48.725920761193, 2.2354559869132 48.727557716777, 2.2507554777302 48.726221895507, 2.2668375419208 48.718276948737, 2.259344785911 48.706488940035, 2.2269115408478 48.701706600574, 2.2097054969643 48.701583057456, 2.1934544022282 48.710203804834, 2.1934850570769 48.718696902911, 2.2034622767258 48.721045886051))"
2,215.0,78172,Conflans-Sainte-Honorine,78,78700,"POLYGON ((2.0743941292526 48.984803642495, 2.0718783877318 48.993389351529, 2.0716996693885 49.001709777092, 2.0754526810069 49.002257622875, 2.0849108992224 49.014674188012, 2.1102443408749 49.008729959034, 2.1209859138214 49.018101015013, 2.1266727971603 49.012207510523, 2.1207126382788 48.993300321431, 2.1274500504103 48.989051021331, 2.0852396220577 48.9877824912, 2.0743941292526 48.984803642495))"
3,485.0,94078,Villeneuve-Saint-Georges,94,94190,"POLYGON ((2.4275220616302 48.751008794898, 2.4265883680559 48.760602077001, 2.4340199260365 48.763523762271, 2.4425519660272 48.761956627727, 2.4491079630022 48.761054349942, 2.4576423747937 48.748175894065, 2.4584760228821 48.742544746436, 2.4712462474296 48.738208254957, 2.4729799734013 48.727567463669, 2.4673873361332 48.728713712543, 2.4549382750663 48.722660904777, 2.4511551612486 48.714881299466, 2.4428468316819 48.720689239232, 2.4401207414166 48.725433667155, 2.444984503219 48.735463587636, 2.436815329586 48.745150028543, 2.4275220616302 48.751008794898))"
4,14.0,75115,Paris,75,75015,"POLYGON ((2.2897782765961 48.858123113769, 2.3021915203793 48.850344748998, 2.3166281602877 48.846752387477, 2.3246635446251 48.843518038723, 2.3013154184885 48.825125760842, 2.2893937776751 48.828352646104, 2.2790519306533 48.832489952145, 2.2727931901868 48.827920084226, 2.2627915245265 48.833923373524, 2.2724846953815 48.843681568601, 2.2897782765961 48.858123113769))"
5,321.0,91223,Étampes,91,91150,"POLYGON ((2.0822110130001 48.459284862277, 2.1027414124439 48.462707636629, 2.1147876163426 48.462146701498, 2.1238991573839 48.448470802424, 2.1362220665639 48.452826506953, 2.1648421431838 48.454093840057, 2.1698834881466 48.451921401531, 2.1734640861922 48.43812911145, 2.1955210785729 48.427521357895, 2.2076008847489 48.411570123937, 2.2199853778872 48.399356002083, 2.2328159984565 48.396536362884, 2.2276257477301 48.393475150434, 2.218510524188 48.394410496799, 2.2032090769477 48.395413496816, 2.1763991173971 48.409689508425, 2.1599694179063 48.416183495156, 2.1545674331419 48.416175704777, 2.1354250570336 48.408151790498, 2.1275828851922 48.392701123837, 2.1256495992794 48.386449999712, 2.1106779221911 48.383948948321, 2.1007460046343 48.38671716348, 2.0951420318568 48.38409859302, 2.0716137110459 48.392589163766, 2.0787022434927 48.406000844811, 2.0767725819953 48.412234368194, 2.094551360579 48.41291665315, 2.1010421072926 48.420681921775, 2.1106914137692 48.421814504759, 2.1064903270938 48.427778548491, 2.1099677656732 48.44068021902, 2.1069922058998 48.446850421562, 2.0948050933882 48.44895873304, 2.0785021403272 48.457658295319, 2.0822110130001 48.459284862277))"
6,393.0,92033,Garches,92,92380,"POLYGON ((2.197861054676 48.85476232433, 2.2012514987459 48.849191818784, 2.1938597835456 48.840564881451, 2.1872152944551 48.837730034175, 2.1666241523509 48.837742139543, 2.1790201156323 48.844128033677, 2.1826126110062 48.851561694542, 2.197861054676 48.85476232433))"
8,391.0,92026,Courbevoie,92,92400,"POLYGON ((2.2842744091473 48.902285620694, 2.2710639620218 48.898398213481, 2.2537610153392 48.886891719068, 2.2411672996089 48.890886559366, 2.2337839378819 48.895671660315, 2.2316290145216 48.900651830427, 2.2582157919968 48.906076886413, 2.2663940990819 48.906292729204, 2.2759875959395 48.906675754828, 2.2842744091473 48.902285620694))"
9,9.0,75110,Paris,75,75010,"POLYGON ((2.3646776664012 48.884291351874, 2.3770153520998 48.87192112928, 2.3638513390126 48.867431638281, 2.3541114926597 48.869275285895, 2.3478317710849 48.870624420335, 2.3495508401232 48.883620167912, 2.3646776664012 48.884291351874))"
10,469.0,94052,Nogent-sur-Marne,94,94130,"POLYGON ((2.4758029547537 48.830611849549, 2.465730572119 48.826226047985, 2.4672474618601 48.839072987582, 2.4797816041001 48.841986299027, 2.4915219508926 48.847633426689, 2.4975981658336 48.830809715633, 2.4758029547537 48.830611849549))"
11,507.0,95197,Deuil-la-Barre,95,95170,"POLYGON ((2.3283349938093 48.959659359756, 2.3131712998317 48.962218212702, 2.3108464872473 48.971932212686, 2.3168499657362 48.979617427441, 2.3254500070462 48.983086844133, 2.3351570198407 48.980966648117, 2.3443053525085 48.97791099011, 2.3366599375832 48.97260921527, 2.3283349938093 48.959659359756))"
